Customer_ID,Age,Gender,Persona,Job,Annual_Income,Credit_Score,Account_Balance,Spending_Score,Loan_Amount,Loan_Term_Months,Loan_Default,Customer_Feedback
CUST-645928,67,M,retiree,retired,55036.0,692,13371.29,42.08,4852.43,24,1,They closed my local bank and now I have to use a machine to deposit a check! Ridiculous.
CUST-156284,38,M,professional,Youth worker,60427.83,749,7628.98,21.36,12953.03,12,0,I value the personalized financial advice I received from the bank's advisors.
CUST-554730,76,M,retiree,retired,37787.81,616,16150.03,56.75,4563.53,36,0,I'm grateful for the courteous and professional approach of your staff.
CUST-674765,45,M,professional,Contractor,117671.63,797,2444.98,48.11,54270.97,60,1,The bank's policies regarding foreclosure are harsh and unforgiving.
CUST-979269,38,M,professional,Research scientist (maths),113218.57,720,23714.04,50.25,60274.33,24,1,"My business account was frozen without proper notification, causing significant operational disruptions."
CUST-102303,20,F,young_adult,None,19657.37,577,97.81,69.18,9483.02,12,1,Splitting bills with my partner is a constant battle due to the app.
CUST-360297,61,M,retiree,retired,48921.01,686,21010.48,20.52,9642.72,24,0,The branch staff were incredibly patient explaining the new website to me.
CUST-860127,79,M,retiree,retired,50243.01,612,5891.7,20.85,13286.76,24,0,I am very satisfied with the friendly and efficient service I receive.
CUST-934883,21,F,young_adult,None,20215.92,609,152.1,87.67,10928.73,36,1,I've lost money due to the bank's unreliable crypto trading platform.
CUST-263917,75,M,retiree,retired,49657.46,703,1659.71,30.14,4466.35,24,0,I appreciate the friendly and helpful service I always receive at the branch.
CUST-446922,27,F,professional,"Social research officer, government",68908.08,850,14196.39,54.85,20245.02,12,0,Seamless mobile banking integration is a major convenience.
CUST-595036,57,M,professional,Marketing executive,107015.87,749,28477.96,55.37,2909.92,36,0,Seamless mobile banking integration is a major convenience.
CUST-525556,29,F,professional,Database administrator,64367.55,657,24870.65,34.83,4062.1,60,0,The international wire transfer service is reliable for my business transactions.
CUST-904771,47,F,professional,Manufacturing engineer,44606.25,780,20377.18,40.54,24950.89,60,0,The security measures implemented for online transactions provide peace of mind.
CUST-786341,60,M,retiree,retired,39420.95,683,1547.03,27.34,16395.63,36,0,The branch staff were so understanding of my difficulty with the app.
CUST-342924,29,F,professional,"Engineer, land",80313.47,599,36415.58,23.35,45953.69,60,0,Mortgage options were tailored to my specific financial circumstances.
CUST-458605,53,M,professional,Volunteer coordinator,81752.16,690,24700.83,36.37,40503.64,24,0,The bank's commitment to innovation is evident in its advanced technological offerings.
CUST-320989,53,M,professional,Call centre manager,53919.67,682,1127.15,49.22,29505.43,24,0,The efficiency of the online application process for loans was impressive.
CUST-635239,72,M,retiree,retired,37971.93,645,5459.03,30.76,14656.43,24,0,The helpful staff at the branch were very accommodating and patient.
CUST-422823,52,F,professional,Ranger/warden,112213.31,755,22223.56,39.11,65613.01,36,1,"The bank's fee structure for business accounts is unclear and lacks transparency, causing unexpected charges."
CUST-982417,61,F,retiree,retired,45830.39,591,2622.55,24.95,20246.8,36,1,"My local branch closed, and the next one is too far away; I can't get there easily."
CUST-464189,48,F,professional,Fitness centre manager,47232.89,702,5170.14,46.85,16085.74,36,0,The communication regarding account updates is clear and concise.
CUST-644719,31,F,professional,Print production planner,75426.16,664,18873.38,69.72,31616.68,24,1,The bank's investment advice has consistently underperformed my expectations.
CUST-180951,77,M,retiree,retired,48936.82,548,22793.82,13.02,7635.56,24,0,The staff in the branch were very helpful answering my pension questions.
CUST-746154,42,M,professional,"Journalist, broadcasting",96715.52,803,11209.12,59.46,54526.3,60,1,"The bank's system frequently experiences downtime, disrupting my ability to access essential financial services."
CUST-817552,44,M,professional,Private music teacher,95359.12,747,19290.99,57.92,48938.59,12,1,The bank's mobile banking app is clunky and lacks essential functionality for businesses.
CUST-599753,55,M,professional,Management consultant,70079.7,699,12920.73,32.14,16444.04,24,0,The mortgage options were tailored to my individual financial needs.
CUST-718990,63,M,retiree,retired,38533.05,716,11452.48,40.73,18852.52,36,1,This bank's website is too advanced. Is there a simpler version available?
CUST-191962,55,M,professional,"Engineer, drilling",109756.34,696,18236.61,77.18,47665.91,60,0,The security measures in place provide peace of mind during transactions.
CUST-823535,38,F,professional,Artist,73311.95,695,42985.49,69.16,6788.08,36,0,Competitive savings account interest rates make my business so simple.
CUST-239164,38,F,professional,Herbalist,74237.17,656,8291.54,54.44,23143.76,12,1,I am concerned about the ethical implications of the bank's investment practices.
CUST-808308,30,M,professional,"Engineer, land",89069.8,732,8447.63,60.73,16521.88,12,1,The bank's online platform is outdated and difficult to use for complex transactions.
CUST-702080,30,F,professional,Arts administrator,126454.37,693,21396.84,60.04,37427.72,12,0,Setting up and managing business accounts is very convenient.
CUST-500099,59,M,professional,"Radiographer, therapeutic",73844.39,743,16711.17,57.11,27287.38,36,0,Timely notifications made me feel like my accounts were safe.
CUST-828813,62,M,retiree,retired,47814.28,627,1533.97,27.58,25046.24,24,0,The branch on Main Street is always clean and the staff is friendly.
CUST-882395,61,M,retiree,retired,47883.21,635,1730.61,36.67,4354.0,60,0,"It's great to know that you have my finances under control, thank you."
CUST-389809,49,M,professional,Site engineer,29418.77,702,18742.24,44.99,12898.43,36,0,The dedication to social responsibility is very admirable.
CUST-660596,58,F,professional,Physiotherapist,41487.55,610,10944.3,32.38,23642.39,36,0,The available online resources are comprehensive and informative.
CUST-740916,59,F,professional,"Librarian, public",93251.1,749,48096.69,46.17,27976.2,60,0,The great advice from the financial staff made me want to stay.
CUST-223215,52,M,professional,"Doctor, hospital",85051.42,733,9090.92,61.35,37429.22,12,1,The bank's policies regarding currency exchange rates are unfavorable and disadvantageous.
CUST-312033,49,F,professional,Senior tax professional/tax inspector,81586.35,638,56231.38,35.03,16018.12,24,0,The reliable international funds help me focus on business.
CUST-838094,23,M,young_adult,Intern,10826.0,688,1057.15,78.67,4939.99,60,0,I am happy to have found an app with an excellent user interface!
CUST-407410,67,M,retiree,retired,47667.93,657,8345.47,35.22,10498.72,12,0,The phone support was patient while explaining the account changes.
CUST-270495,54,F,professional,Pension scheme manager,92444.87,667,21176.39,51.1,55436.05,60,0,Your mortgage options provided me with the flexibility I needed for my new home purchase.
CUST-417960,18,F,young_adult,Barista,14348.49,709,293.91,87.75,7479.96,36,0,"The instant cash advances have saved me more than once, seriously life-saving."
CUST-709908,64,F,retiree,retired,44560.41,708,13879.39,26.79,14687.46,36,0,I am very satisfied with the friendly and efficient service I receive.
CUST-119719,64,F,retiree,retired,52874.25,701,16531.42,29.08,8486.73,24,0,I appreciate the extra precautions taken to ensure my account's security.
CUST-871934,64,M,retiree,retired,56959.28,749,10258.51,23.44,31494.18,60,1,This bank is never consistent. What a letdown.
CUST-180234,32,M,professional,Insurance underwriter,104796.25,720,11868.12,49.28,41726.59,12,0,I am questioning the bank's commitment to providing excellent service to its business customers.
CUST-664570,78,M,retiree,retired,49340.23,629,6839.83,34.04,22680.14,36,1,I needed the money but it was locked in an account that I cannot access
CUST-768914,35,M,professional,"Journalist, magazine",66847.01,778,41935.87,40.33,13062.4,12,0,The online platform is user-friendly and simplifies account management.
CUST-647312,70,M,retiree,retired,55090.91,815,6842.03,28.38,2804.69,60,0,I loathe this bank. I'm closing my account.
CUST-468948,22,F,young_adult,None,13062.88,634,514.3,68.76,5190.53,12,1,I'm being charged hidden fees that I wasn't informed about.
CUST-729232,64,F,retiree,retired,50967.35,592,3756.62,25.08,12753.48,60,0,I appreciate the security measures in place to protect my account.
CUST-767578,55,M,professional,"Engineer, structural",95041.88,772,47835.35,55.04,28224.11,60,1,"My business account was frozen without proper notification, causing significant operational disruptions."
CUST-106087,57,M,professional,Printmaker,92818.13,692,2817.26,59.36,51799.95,12,0,The diverse range of financial products offered meets my investment needs.
CUST-255825,30,F,professional,Landscape architect,126587.99,709,82867.29,55.32,65540.32,24,0,I appreciate the competitive interest rates on business savings accounts.
CUST-116656,24,F,young_adult,Part-time Server,8149.85,563,53.3,74.68,4379.53,60,1,Splitting bills with my friends is such a hassle using this app.
CUST-849940,44,F,professional,Emergency planning/management officer,34466.78,729,14867.91,46.06,14970.99,24,0,Competitive interest rates on savings accounts are a major benefit.
CUST-406313,80,F,retiree,retired,37796.58,612,2843.68,38.51,18178.96,36,0,I appreciate your care and attention in managing my finances.
CUST-853800,61,F,retiree,retired,55749.09,672,58055.95,14.11,14603.96,12,0,I am happy with the peace of mind knowing my savings are well protected.
CUST-165214,57,F,professional,Computer games developer,94825.94,756,84642.14,23.7,34381.89,12,0,The range of financial products is exactly what I need for investing.
CUST-938663,43,F,professional,"Physicist, medical",70456.93,652,20106.57,30.25,39573.09,36,1,I was subjected to discriminatory treatment based on my race and ethnicity.
CUST-291542,80,F,retiree,retired,46050.8,718,19508.59,50.21,13478.77,24,0,I really appreciate the time spent to explain my account details.
CUST-101049,78,F,retiree,retired,54256.88,643,2314.75,36.16,26584.28,36,0,The branch representatives have been genuinely helpful with my account.
CUST-743241,66,M,retiree,retired,59240.15,645,20225.58,11.63,20042.06,36,1,Thank you for your helpful approach when I had to reset my password.
CUST-336588,50,M,professional,Immunologist,113398.82,661,27518.87,34.19,19395.82,60,0,I commend the bank's commitment to providing excellent customer support.
CUST-859822,72,F,retiree,retired,40565.01,713,1083.8,30.57,13798.93,60,0,The support staff have been extremely patient during the entire process.
CUST-404691,76,F,retiree,retired,58923.56,742,12641.06,20.12,33058.18,36,0,I feel very secure knowing you're managing my money.
CUST-709418,25,F,professional,Printmaker,45234.99,663,3301.17,41.85,19229.94,36,0,The customer service representatives were unhelpful and lacked the necessary expertise.
CUST-338633,39,F,professional,Oncologist,88836.59,726,61530.61,40.8,11769.88,60,0,The many investment options made it easy to manage my money.
CUST-295760,79,M,retiree,retired,29654.38,645,1563.75,51.05,11488.65,12,0,The staff in the branch were very helpful answering my pension questions.
CUST-486643,57,M,professional,"Engineer, civil (contracting)",82482.64,750,15507.88,42.8,47283.67,60,0,Notifications regarding my bank account are helpful and not intrusive.
CUST-859181,73,F,retiree,retired,50807.57,622,7227.66,45.53,18781.65,36,0,"I'm always satisfied with the service, very trustworthy."
CUST-347879,37,M,professional,Diplomatic Services operational officer,119356.71,777,33389.07,40.77,10685.8,12,0,Managing my finances online has saved me significant time and effort.
CUST-544613,40,F,professional,Phytotherapist,85313.21,701,4255.12,49.96,23896.32,36,1,The bank's policies regarding foreclosure are harsh and unforgiving.
CUST-888086,61,F,retiree,retired,50677.11,640,9885.52,31.19,4355.28,60,0,"The call queues are very long, and when I get through, they can't fix my problem."
CUST-838246,45,M,professional,Magazine features editor,89757.98,650,24726.62,32.49,28714.0,60,0,My request for a credit line increase was rejected despite my strong credit history and financial stability.
CUST-976002,24,F,young_adult,Part-time Server,17619.83,755,335.22,70.67,6070.97,24,0,I'm impressed with how they help younger demographics!
CUST-405110,28,F,professional,Corporate treasurer,56758.7,711,2191.36,48.12,13967.93,36,0,The ease of setting up and managing business accounts has been a significant benefit.
CUST-968100,68,F,retiree,retired,45290.34,726,7006.18,29.19,11901.62,12,0,Thank you for taking the time to help me through the login process.
CUST-612361,33,F,professional,"Engineer, materials",65626.37,658,21291.21,30.82,26145.4,24,0,Applying online for a loan saves a lot of time for a busy customer.
CUST-664353,36,F,professional,Immigration officer,108725.61,743,14058.28,24.54,8557.63,12,0,I am frustrated with the bank's rigid policies and lack of flexibility.
CUST-449718,48,M,professional,"Sales professional, IT",108269.83,705,45333.39,65.66,28568.45,24,0,The bank is not unethical and cares about its customers.
CUST-194519,65,M,retiree,retired,36814.36,647,7130.07,26.42,16027.2,12,0,"The branch is a really friendly place, it's nice to be there."
CUST-965837,58,F,professional,Cartographer,92043.49,731,12631.15,34.73,50610.25,24,0,I appreciate the competitive interest rates on business savings accounts.
CUST-887574,39,F,professional,Animal technologist,85470.76,728,21527.53,39.13,3324.83,36,0,I am grateful for the personalized attention I received during my home loan application.
CUST-154164,64,F,retiree,retired,32457.89,598,7584.55,19.16,14902.64,60,0,"Your branch staff are always so helpful, it is appreciated."
CUST-364792,60,M,retiree,retired,28412.16,653,2039.62,34.68,9540.22,60,0,"The branch is a really friendly place, it's nice to be there."
CUST-187289,63,M,retiree,retired,51327.65,700,6138.7,22.8,29394.39,36,0,The staff at my local branch always greet me with a smile; it's very nice.
CUST-205102,26,F,professional,Stage manager,47821.27,695,10166.59,43.64,24872.09,24,0,Proactive approach to fraud prevention makes me feel safe and secure.
CUST-733870,33,F,professional,Secretary/administrator,86586.64,751,57505.14,73.44,42816.63,60,0,Professional staff members made me feel comfortable.
CUST-991913,50,M,professional,Dentist,44660.98,715,10508.33,76.26,19880.72,24,0,Professional staff is very beneficial in the bank.
CUST-515645,72,F,retiree,retired,44074.71,709,7760.25,38.99,7680.48,12,0,The security protocols give me a sense of trust in the bank's services.
CUST-993415,25,F,professional,Pharmacologist,108597.42,736,18157.1,43.18,63244.54,24,0,The bank is not unethical and cares about its customers.
CUST-815711,65,F,retiree,retired,39453.23,767,12574.6,42.41,18275.41,12,0,I’m so thankful for the help with accessing my online pension statement.
CUST-382956,56,F,professional,Archivist,57530.54,754,20956.31,42.05,6588.74,60,0,Personalized financial advice has been invaluable to my investment strategy.
CUST-530321,58,F,professional,Forensic psychologist,40971.12,654,6905.58,29.72,3411.58,60,0,I experienced difficulty accessing my account online due to technical issues.
CUST-510373,55,F,professional,Management consultant,51100.03,669,8129.7,44.09,16332.62,24,0,I save time with a reliable and trustworthy service.
CUST-205561,25,F,professional,"Engineer, automotive",123024.52,676,59399.2,79.17,65799.02,36,0,I am grateful for the personalized attention I received during my home loan application.
CUST-550167,39,M,professional,Recycling officer,129959.22,785,39147.99,78.43,31367.74,24,0,I'm impressed with the competitive interest rates offered on your premium accounts.
CUST-152072,28,F,professional,"Engineer, communications",159379.07,757,5800.9,52.23,78155.21,36,0,The bank's commitment to innovation is evident in its advanced technological offerings.
CUST-663670,79,M,retiree,retired,44020.57,778,1588.68,23.93,17657.26,60,0,"I feel my money is safe with you, and that gives me great peace of mind."
CUST-638406,73,F,retiree,retired,60725.42,736,13046.62,38.71,9531.27,24,0,Your phone service is impeccable; problems get solved so quickly.
CUST-511970,66,M,retiree,retired,55071.71,632,6224.69,17.86,16087.68,24,0,I am always happy with the professional care I receive.
CUST-248513,18,F,young_adult,Student,18583.83,549,440.41,75.28,6530.36,60,1,"I wanted fast cash for an emergency, and the bank denied my request."
CUST-612089,42,M,professional,Marketing executive,101913.21,767,11621.21,56.03,42729.69,12,0,The international wire transfer service is efficient and reliable for my business needs.
CUST-970207,35,M,professional,Information officer,61557.34,680,19029.26,31.61,31372.01,24,0,Competitive interest rates on savings accounts are a major benefit.
CUST-510191,29,M,professional,Clinical biochemist,118124.43,737,34689.52,47.3,51943.36,12,1,"The bank's website is difficult to navigate, making it hard to find relevant information quickly."
CUST-797576,21,M,young_adult,Barista,22732.14,644,117.51,65.49,12063.47,60,1,Splitting bills is a source of stress every month because of this app.
CUST-294305,55,F,professional,Claims inspector/assessor,94539.78,773,10735.95,51.0,19604.09,24,1,I am dissatisfied with the lack of personalized financial advice and support for my business needs.
CUST-347062,71,M,retiree,retired,44479.63,702,31324.82,33.53,16682.92,12,0,I appreciate the service I get whenever I visit the branch.
CUST-180088,47,M,professional,"Research officer, political party",33760.42,763,17939.58,72.1,11861.14,12,0,Prompt customer support is beneficial to everyone in the bank.
CUST-548317,78,M,retiree,retired,52328.22,555,815.21,31.52,16012.8,36,1,The bank should have better accessibility options for those hard of seeing.
CUST-220005,21,M,young_adult,Barista,19204.0,592,245.51,83.48,3588.59,12,0,"The instant cash advances are life saving, thank you!"
CUST-354880,80,F,retiree,retired,42333.26,520,4544.21,35.91,7339.95,60,0,"The branch is always a welcome, and calming, place to visit."
CUST-600281,45,F,professional,Medical illustrator,149696.44,636,24363.06,62.44,18799.13,36,0,The app made it easy to see my profits and losses.
CUST-937803,43,F,professional,Contractor,98814.32,741,17137.02,49.68,54249.92,24,1,My request for a credit line increase was rejected despite my strong credit history and financial stability.
CUST-714825,42,F,professional,"Engineer, broadcasting (operations)",102300.08,774,49404.34,72.33,4557.14,24,0,Competitive interest rates on business savings are a great benefit.
CUST-863559,52,F,professional,Mudlogger,98494.99,641,41605.29,38.08,41557.89,60,1,Customer service representatives are not knowledgeable about business banking services.
CUST-958045,62,M,retiree,retired,39584.95,588,12227.23,22.52,13858.09,24,0,The phone support agent was incredibly patient with me and my queries.
CUST-692772,41,F,professional,Geophysicist/field seismologist,122508.11,722,46921.87,31.05,33338.35,12,1,My application for a small business loan was denied with no clear explanation.
CUST-397992,76,F,retiree,retired,57008.74,706,10181.75,33.85,4608.74,24,0,The staff at my local branch are friendly and always ready to help.
CUST-686986,61,M,retiree,retired,62435.02,641,29016.97,49.98,31867.29,12,0,I’m impressed by the level of security and personal service.
CUST-864366,34,F,professional,"Engineer, aeronautical",86234.24,760,39102.11,48.9,20436.72,12,0,Helpful bank staff is one of the pros of this bank.
CUST-975271,40,F,professional,"Geologist, engineering",106209.77,728,19781.53,59.35,21802.05,60,0,The online banking interface is user-friendly and allows for effortless financial management.
CUST-900244,23,M,young_adult,Barista,16163.58,675,539.8,84.62,4974.57,12,0,I can't believe they charge a fee for transferring money to another bank!
CUST-612029,60,M,retiree,retired,52225.75,681,11298.28,36.1,24307.01,24,1,I'm worried about the changes to my pension payments; can you verify the reason?
CUST-490935,68,M,retiree,retired,23854.88,697,2129.9,28.17,9682.8,36,1,I feel like the bank is ignoring its older customers; the focus is all on online services.
CUST-856646,60,F,retiree,retired,37481.13,651,8178.24,20.89,17718.76,24,0,I like visiting the branch because the staff are so attentive.
CUST-509008,74,F,retiree,retired,41963.22,680,3802.16,38.8,15521.6,12,0,It's nice to know my pension fund is safe and secure.
CUST-519487,41,F,professional,Freight forwarder,131646.89,634,54418.25,47.62,69632.42,24,1,"My business account was mistakenly flagged for fraudulent activity, causing significant inconvenience."
CUST-624513,54,M,professional,Homeopath,89927.12,701,5423.76,60.45,18931.97,36,0,The range of investment options is well-suited to my financial objectives.
CUST-598372,48,M,professional,Clinical psychologist,84592.54,831,28445.42,52.59,24001.7,12,0,"My business account was frozen without proper notification, causing significant operational disruptions."
CUST-879207,78,F,retiree,retired,66598.28,708,35374.84,21.84,31587.53,36,0,Your representatives are always polite and respectful when I call.
CUST-419439,73,F,retiree,retired,37686.99,733,2694.56,38.01,2297.42,12,0,The helpfulness and kindness shown at the bank branch meant so much.
CUST-561481,59,F,professional,Chief Marketing Officer,78725.89,676,34118.8,34.61,39839.11,36,0,The bank is committed to making the community a better place.
CUST-530732,24,F,young_adult,Intern,21255.92,655,139.93,75.67,9907.87,24,0,Bills are split easy now!
CUST-438044,69,M,retiree,retired,66193.22,764,17274.01,33.71,21783.15,12,0,I'm extremely happy with how the pension plan is managed.
CUST-734229,28,F,professional,Physiotherapist,32206.88,660,32629.95,24.47,18477.82,36,0,The integration of mobile banking with other financial tools is seamless.
CUST-135885,23,F,young_adult,None,13989.9,547,77.63,66.94,4431.91,24,1,My student loan interest rate is higher than the original quote!
CUST-975958,36,F,professional,Cytogeneticist,75363.75,782,18610.24,54.82,14293.12,60,0,I commend the bank's commitment to providing excellent customer support.
CUST-765124,39,M,professional,Field seismologist,93067.3,815,24746.41,61.99,20334.78,12,0,The bank's proactive approach to fraud prevention is highly reassuring.
CUST-739668,30,F,professional,Water engineer,78832.49,588,8577.14,40.28,34633.23,24,1,I have been consistently impressed with the professionalism of the banking staff.
CUST-464175,68,M,retiree,retired,58678.05,720,39806.04,31.27,11914.2,24,0,The ease of managing my pension online is a wonderful convenience.
CUST-286550,22,F,young_adult,Barista,17369.48,552,67.06,58.35,8798.81,12,1,I don't understand any of the Crypto jargon.
CUST-852420,30,M,professional,Occupational therapist,62522.98,766,19645.12,58.28,29519.93,60,1,The bank's response to potential fraudulent activity on my account was slow and inadequate.
CUST-373159,71,F,retiree,retired,47236.3,719,9571.21,34.6,18504.06,36,1,I'm unable to access my statements online; the website keeps crashing on my computer.
CUST-454779,78,F,retiree,retired,36358.57,670,3755.75,26.78,15188.62,24,1,The bank's advertising is misleading; the reality is never as good as they claim.
CUST-771530,50,F,professional,Fine artist,68473.94,741,19180.5,63.75,2922.0,12,0,Efficient resolution of my inquiries is always a plus.
CUST-973563,19,F,young_adult,Barista,10216.26,651,113.87,62.47,3918.54,24,0,I'm being charged unexpected fees that weren't disclosed upfront.
CUST-140296,72,F,retiree,retired,43443.47,592,1816.93,41.59,18801.85,36,1,The staff act like they are doing a favor to their clients to answer their queries
CUST-213927,62,M,retiree,retired,51109.4,578,18857.95,19.3,15485.14,36,1,"This new bank card is confusing, and the instructions are not clear; what am I supposed to do?"
